Row,OverallOrder,ChildIntOrder,Child,aclew_id,old_media_name,Status,Include,Sample,CodeName,Notes,start.hhmmss,newoffset,Media
13,13,2,P-F23-C01,9994,,0-Pass1,1,random_5mindur_summer2018,random-1,child is sitting with father and cousin,83859,83859,P-F23-C01_083859_001418
40,40,4,P-F28-C01,9995,,0-Pass1,1,random_5mindur_summer2018,random-1,child has just breastfed with his mother at the school and is being taken back home by his babysitter,104312,104312,P-F28-C01_104312_002636
28,28,3,P-F07-C01,9990,,0-Pass1,1,random_5mindur_summer2018,random-1,child is getting her diaper changed by her mother inside while it rains outside,85532,85532,P-F07-C01_085532_003347
32,32,4,P-F32-C01,9997,,0-Pass1,1,random_5mindur_summer2018,random-1,child is being carried while women around him are talking about sorcery.,95700,95700,P-F32-C01_095700_003638
24,24,3,P-F42-C01,9999,,0-Pass1,1,random_5mindur_summer2018,random-1,"child is sitting with (1 year older) brother, snacking, I think",95348,95348,P-F42-C01_095348_003653
71,71,8,P-F31-C01,9996,,0-Pass1,1,random_5mindur_summer2018,random-1,the child is sitting with her aunts and cousins,100609,100609,P-F31-C01_100609_003946
65,65,7,P-F23-C01,9994,,0-Pass1,1,random_5mindur_summer2018,random-2,child is with her extended family and then goes to eat tapioca with her grandauntie,90504,90504,P-F23-C01_090504_004023
46,46,5,P-F07-C01,9990,,0-Pass1,1,random_5mindur_summer2018,random-2,child is having her diaper changed by her mother,90442,90442,P-F07-C01_090442_004257
74,74,8,P-F34-C01,9998,,0-Pass1,1,random_5mindur_summer2018,random-1,"the child is sitting on the veranda with her mother, sister, and other family",101714,101714,P-F34-C01_101714_004922
6,6,1,P-F07-C01,9990,,0-Pass1,1,random_5mindur_summer2018,random-3,child is alone (probably waking up from a nap),91209,91209,P-F07-C01_091209_005024
57,57,6,P-F11-C01,9992,,0-Pass1,1,random_5mindur_summer2018,random-1,child is listening to Christian children's music in English with his family.,94015,94015,P-F11-C01_094015_005721
22,22,3,P-F34-C01,9998,,0-Pass1,1,random_5mindur_summer2018,random-2,child is sitting near its mothers and other women,102918,102918,P-F34-C01_102918_010126
53,53,6,P-F10-C01,9991,,0-Pass1,1,random_5mindur_summer2018,random-1,child is sitting with his father while his grandfather and uncle are around,83723,83723,P-F10-C01_083723_010218
29,29,3,P-F32-C01,9997,,0-Pass1,1,random_5mindur_summer2018,random-2,child is sleeping while mother sings to her,103805,103805,P-F32-C01_103805_011743
90,90,9,P-F42-C01,9999,,0-Pass1,1,random_5mindur_summer2018,random-2,"the child is sitting with his brother, mother, and father's brother's wife (the women are preparing food)",104125,104125,P-F42-C01_104125_012430
50,50,5,P-F28-C01,9995,,0-Pass1,1,random_5mindur_summer2018,random-2,child is sitting with mother while she talks to a neighbor,114254,114254,P-F28-C01_114254_012618
38,38,4,P-F13-C01,9993,,0-Pass1,1,random_5mindur_summer2018,random-1,child is playing pretend cooking and market with his cousins under the house,104853,104853,P-F13-C01_104853_013050
5,5,1,P-F11-C01,9992,,0-Pass1,1,random_5mindur_summer2018,random-2,,101437,101437,P-F11-C01_101437_013143
81,81,9,P-F34-C01,9998,,0-Pass1,1,random_5mindur_summer2018,random-3,the child is sitting with her mother while she talks to her father-in-law and her husband's cousins,110358,110358,P-F34-C01_110358_013606
47,47,5,P-F31-C01,9996,,0-Pass1,1,random_5mindur_summer2018,random-2,child is saying goodbye to her family visiting from East Point,110509,110509,P-F31-C01_110509_013846
77,77,8,P-F23-C01,9994,,0-Pass1,1,random_5mindur_summer2018,random-3,"the child is saying sorry to another, crying child",101528,101528,P-F23-C01_101528_015047
62,62,7,P-F42-C01,9999,,0-Pass1,1,random_5mindur_summer2018,random-3,child is breastfeeding while the mother talks to other women about the chopper pick-up,111355,111355,P-F42-C01_111355_015700
12,12,2,P-F32-C01,9997,,0-Pass1,1,random_5mindur_summer2018,random-3,child is sleeping with father on veranda,112843,112843,P-F32-C01_112843_020821
1,1,1,P-F34-C01,9998,,0-Pass1,1,random_5mindur_summer2018,random-4,,114144,114144,P-F34-C01_114144_021352
64,64,7,P-F07-C01,9990,,0-Pass1,1,random_5mindur_summer2018,random-4,child is breastfeeding,104125,104125,P-F07-C01_104125_021940
69,69,7,P-F13-C01,9993,,0-Pass1,1,random_5mindur_summer2018,random-2,the child is throwing a tantrum because he wants to eat more banana,113913,113913,P-F13-C01_113913_022110
85,85,9,P-F31-C01,9996,,0-Pass1,1,random_5mindur_summer2018,random-3,the child is talking with her cousin while her father tries to nap; christian stories are playing in the background,115235,115235,P-F31-C01_115235_022612
75,75,8,P-F28-C01,9995,,0-Pass1,1,random_5mindur_summer2018,random-3,the child is sleeping while his babysitter and her cousin gossip.,124306,124306,P-F28-C01_124306_022630
78,78,8,P-F11-C01,9992,,0-Pass1,1,random_5mindur_summer2018,random-3,the child is getting a bath from her mother,111626,111626,P-F11-C01_111626_023332
83,83,9,P-F10-C01,9991,,0-Pass1,1,random_5mindur_summer2018,random-2,the child is sleeping while someone eats near him,100902,100902,P-F10-C01_100902_023357
87,87,9,P-F28-C01,9995,,0-Pass1,1,random_5mindur_summer2018,random-4,the child is (maybe) napping while his babysitter and her cousin,125202,125202,P-F28-C01_125202_023526
33,33,4,P-F34-C01,9998,,0-Pass1,1,random_5mindur_summer2018,random-5,child is sitting with her sister and cousins at home,121728,121728,P-F34-C01_121728_024936
23,23,3,P-F23-C01,9994,,0-Pass1,1,random_5mindur_summer2018,random-4,child is sitting with extended family and two other children as the people around them prepare for a sing-sing the next day,111601,111601,P-F23-C01_111601_025120
72,72,8,P-F32-C01,9997,,0-Pass1,1,random_5mindur_summer2018,random-4,the child is going down for a nap with his mother,122322,122322,P-F32-C01_122322_030300
66,66,7,P-F28-C01,9995,,0-Pass1,1,random_5mindur_summer2018,random-5,child is sleeping while his babysitter and auntie talk,132403,132403,P-F28-C01_132403_030727
25,25,3,P-F31-C01,9996,,0-Pass1,1,random_5mindur_summer2018,random-4,child is cracking nuts with her cousin,123549,123549,P-F31-C01_123549_030926
14,14,2,P-F10-C01,9991,,0-Pass1,1,random_5mindur_summer2018,random-3,child is sleeping while aunties gossip and children play outside,104949,104949,P-F10-C01_104949_031444
21,21,3,P-F13-C01,9993,,0-Pass1,1,random_5mindur_summer2018,random-3,child is playing with siblings and cousins,123655,123655,P-F13-C01_123655_031852
15,15,2,P-F42-C01,9999,,0-Pass1,1,random_5mindur_summer2018,random-4,child is being carried up into Nukgha,125308,125308,P-F42-C01_125308_033613
