effect,component,group,term,estimate,std.error,statistic,p.value,model
fixed,cond,NA,(Intercept),0.6901952255763838,0.3189796520529992,2.1637594157940403,0.030482818356959145,TCDS_random_z-inb
fixed,cond,NA,tchiyr.std,0.7310353658727765,0.22844218923437198,3.2000891268064553,0.001373850964093373,TCDS_random_z-inb
fixed,cond,NA,stthr.trimorning,0.8000884352174622,0.3593020063863652,2.2267853254265155,0.02596162460191727,TCDS_random_z-inb
fixed,cond,NA,stthr.triafternoon,0.2588511693188163,0.3541193557774255,0.7309715357143932,0.46479653934466214,TCDS_random_z-inb
fixed,cond,NA,hsz.std,-0.20737962293833817,0.12268406662038696,-1.6903549796732689,0.09096006257482278,TCDS_random_z-inb
fixed,cond,NA,nsk.std,-0.04380168578856662,0.16428353652260097,-0.2666224913081336,0.7897598367618397,TCDS_random_z-inb
fixed,cond,NA,tchiyr.std:stthr.trimorning,-0.5889421034039197,0.30301539437637376,-1.9436045637747301,0.05194315506523961,TCDS_random_z-inb
fixed,cond,NA,tchiyr.std:stthr.triafternoon,-0.5964865392808686,0.291704707370025,-2.044830008602605,0.04087162016168453,TCDS_random_z-inb
fixed,cond,NA,tchiyr.std:nsk.std,-0.028043728097935035,0.10818010502376409,-0.25923184389379755,0.7954563627825757,TCDS_random_z-inb
fixed,zi,NA,(Intercept),-9.280540414426401,11.509324037633679,-0.8063497373156315,0.4200412195643953,TCDS_random_z-inb
fixed,zi,NA,nsk.std,-5.654969565948425,7.443550441636373,-0.7597140115174997,0.4474255515836872,TCDS_random_z-inb
ran_pars,cond,aclew_child_id,sd__(Intercept),2.8231447748142837e-5,NA,NA,NA,TCDS_random_z-inb
fixed,cond,NA,(Intercept),0.9490447234415793,0.19021950439394253,4.9892082647640486,6.062725737230846e-7,TCDS_random_z-inb.v2
fixed,cond,NA,tchiyr.std,0.13454917188812335,0.18639074160045027,0.7218661760386402,0.47037675851892863,TCDS_random_z-inb.v2
fixed,cond,NA,stthr.tri.amidday,-0.2588537320318982,0.3541198303992015,-0.7309777928564204,0.4647927173585845,TCDS_random_z-inb.v2
fixed,cond,NA,stthr.tri.amorning,0.5412381887429203,0.25725610368848933,2.1038886190949393,0.035388163978597356,TCDS_random_z-inb.v2
fixed,cond,NA,hsz.std,-0.20738083659906836,0.12268428726669327,-1.690361832141228,0.09095875239846744,TCDS_random_z-inb.v2
fixed,cond,NA,nsk.std,-0.043800331205418,0.16428417971650863,-0.26661320208069056,0.7897669896878026,TCDS_random_z-inb.v2
fixed,cond,NA,tchiyr.std:stthr.tri.amidday,0.5964883519501601,0.29170498781426185,2.0448342567593114,0.04087120119983118,TCDS_random_z-inb.v2
fixed,cond,NA,tchiyr.std:stthr.tri.amorning,0.007544513397123876,0.27015588003402496,0.02792651929757619,0.9777207573480089,TCDS_random_z-inb.v2
fixed,cond,NA,tchiyr.std:nsk.std,-0.028044188302898652,0.10818027539763614,-0.25923568968388344,0.7954533956778418,TCDS_random_z-inb.v2
fixed,zi,NA,(Intercept),-9.280809826565656,11.51020978645247,-0.8063110923911377,0.4200634962295523,TCDS_random_z-inb.v2
fixed,zi,NA,nsk.std,-5.655143879222191,7.44410027386617,-0.7596813142181296,0.44744510071525334,TCDS_random_z-inb.v2
ran_pars,cond,aclew_child_id,sd__(Intercept),2.1051895603597034e-4,NA,NA,NA,TCDS_random_z-inb.v2
fixed,cond,NA,(Intercept),0.8900612916363001,0.1764857911459196,5.0432461778205795,4.576997788594175e-7,TCDS_random_log_gaus
fixed,cond,NA,tchiyr.std,0.48254569319221696,0.17228422596972756,2.8008698444453417,0.005096506995176112,TCDS_random_log_gaus
fixed,cond,NA,stthr.trimorning,0.39934481218889956,0.23720977959875986,1.6835090562639996,0.09227658770371311,TCDS_random_log_gaus
fixed,cond,NA,stthr.triafternoon,0.09088574550093494,0.21385067050202555,0.42499630834720287,0.6708393658973106,TCDS_random_log_gaus
fixed,cond,NA,hsz.std,-0.11231348252818368,0.08886572638429581,-1.263856011737181,0.20628171276973709,TCDS_random_log_gaus
fixed,cond,NA,nsk.std,0.030820178310587164,0.08882642934772908,0.3469708119183236,0.7286132468879296,TCDS_random_log_gaus
fixed,cond,NA,tchiyr.std:stthr.trimorning,-0.38600197073563214,0.24703501534053168,-1.5625395055981757,0.11816094677068155,TCDS_random_log_gaus
fixed,cond,NA,tchiyr.std:stthr.triafternoon,-0.40684280409559764,0.21689442275296855,-1.8757642494061288,0.06068765909479962,TCDS_random_log_gaus
fixed,cond,NA,tchiyr.std:nsk.std,-0.02568003030944308,0.07849100102631607,-0.3271716499173352,0.7435380620665916,TCDS_random_log_gaus
