tier,speaker,start,stop,dur,val
CHI,CHI,1132610,1132751,141,0.
CHI,CHI,1133030,1133183,153,0.
CHI,CHI,2981290,2981693,403,0.
CHI,CHI,3006324,3006577,253,0.
CHI,CHI,3011883,3012067,184,0.
CHI,CHI,3012564,3013030,466,0.
CHI,CHI,3014442,3014669,227,0.
CHI,CHI,3015209,3015298,89,0.
CHI,CHI,3018274,3018723,449,0.
CHI,CHI,3019079,3019365,286,0.
CHI,CHI,3020361,3020757,396,0.
CHI,CHI,3021931,3022167,236,0.
CHI,CHI,3023320,3023679,359,0.
CHI,CHI,3027319,3027915,596,0.
CHI,CHI,3028407,3029466,1059,0.
CHI,CHI,3030550,3030675,125,0.
CHI,CHI,3031289,3031915,626,0.
CHI,CHI,3032244,3032809,565,0.
CHI,CHI,3033209,3033468,259,0.
CHI,CHI,3033972,3034170,198,0.
CHI,CHI,3034975,3035738,763,0.
CHI,CHI,4280839,4281182,343,0.
CHI,CHI,4312210,4312720,510,0.
CHI,CHI,4697392,4697649,257,0.
CHI,CHI,4698222,4698653,431,0.
CHI,CHI,4704325,4704547,222,0.
CHI,CHI,4705532,4706176,644,0.
CHI,CHI,4706508,4706678,170,0.
CHI,CHI,4707055,4707234,179,0.
CHI,CHI,4707594,4707799,205,0.
CHI,CHI,4710694,4710764,70,0.
CHI,CHI,4711149,4711258,109,0.
CHI,CHI,4711768,4711902,134,0.
CHI,CHI,4712307,4712571,264,0.
CHI,CHI,4716015,4716422,407,0.
CHI,CHI,4718015,4718346,331,0.
CHI,CHI,4718949,4719092,143,0.
CHI,CHI,4719634,4720248,614,0.
CHI,CHI,4725037,4726171,1134,0.
CHI,CHI,4730581,4730964,383,0.
CHI,CHI,4736024,4736301,277,0.
CHI,CHI,4736796,4737389,593,0.
CHI,CHI,4738626,4738991,365,0.
CHI,CHI,4739558,4739745,187,0.
CHI,CHI,4743954,4744077,123,0.
CHI,CHI,4752049,4752636,587,0.
CHI,CHI,4752817,4753024,207,0.
CHI,CHI,4756808,4757143,335,0.
CHI,CHI,4757577,4757863,286,0.
CHI,CHI,4758231,4758447,216,0.
CHI,CHI,4760015,4760231,216,0.
CHI,CHI,4763805,4764216,411,0.
CHI,CHI,4778204,4778660,456,0.
CHI,CHI,4783240,4783708,468,0.
CHI,CHI,4784267,4784650,383,0.
CHI,CHI,4813453,4813833,380,0.
CHI,CHI,4814459,4814790,331,0.
CHI,CHI,4815568,4815951,383,0.
CHI,CHI,4817681,4817988,307,0.
CHI,CHI,4826343,4826790,447,0.
CHI,CHI,4827193,4827472,279,0.
CHI,CHI,4827842,4828187,345,0.
CHI,CHI,4832535,4832842,307,0.
CHI,CHI,4833337,4833495,158,0.
CHI,CHI,4834459,4834881,422,0.
CHI,CHI,5132290,5132381,91,0.
CHI,CHI,5136088,5136332,244,0.
CHI,CHI,5138130,5138297,167,0.
CHI,CHI,5143336,5143439,103,0.
CHI,CHI,5143931,5144127,196,0.
CHI,CHI,5148375,5148893,518,0.
CHI,CHI,5158557,5158950,393,0.
CHI,CHI,5160030,5160348,318,0.
CHI,CHI,5160935,5161371,436,0.
CHI,CHI,5164811,5165456,645,0.
CHI,CHI,5168534,5168973,439,0.
CHI,CHI,5169030,5169550,520,0.
CHI,CHI,5170351,5170492,141,0.
CHI,CHI,5172214,5172359,145,0.
CHI,CHI,5172762,5173066,304,0.
CHI,CHI,5173420,5173746,326,0.
CHI,CHI,5177922,5178150,228,0.
CHI,CHI,5181135,5181413,278,0.
CHI,CHI,5186936,5187387,451,0.
CHI,CHI,7756412,7757475,1063,0.
CHI,CHI,7757901,7758195,294,0.
CHI,CHI,7764134,7764262,128,0.
CHI,CHI,7767657,7767921,264,0.
CHI,CHI,7768475,7768846,371,0.
CHI,CHI,7769083,7769578,495,0.
CHI,CHI,7772264,7772842,578,0.
CHI,CHI,7773741,7773886,145,0.
CHI,CHI,7774540,7775013,473,0.
CHI,CHI,7775820,7776756,936,0.
CHI,CHI,7777267,7777611,344,0.
CHI,CHI,7787515,7788833,1318,0.
CHI,CHI,7789375,7789767,392,0.
CHI,CHI,7791534,7791983,449,0.
CHI,CHI,7795284,7795767,483,0.
CHI,CHI,7796717,7796811,94,0.
CHI,CHI,10783567,10783768,201,0.
CHI,CHI,10813696,10813914,218,0.
CHI,CHI,10815211,10815630,419,0.
CHI,CHI,10831556,10831844,288,0.
CHI,CHI,10894832,10895118,286,0.
CHI,CHI,10904296,10904818,522,0.
CHI,CHI,11248228,11248829,601,0.
CHI,CHI,11250338,11250916,578,0.
CHI,CHI,11251769,11252549,780,0.
CHI,CHI,11253034,11253136,102,0.
CHI,CHI,11253493,11253593,100,0.
CHI,CHI,11253907,11254466,559,0.
CHI,CHI,11254971,11255136,165,0.
CHI,CHI,11261565,11261662,97,0.
CHI,CHI,11262499,11263237,738,0.
CHI,CHI,11263535,11263726,191,0.
CHI,CHI,11264898,11265026,128,0.
CHI,CHI,11265914,11266072,158,0.
CHI,CHI,11266336,11266554,218,0.
CHI,CHI,11267228,11267613,385,0.
CHI,CHI,11269563,11270914,1351,0.
CHI,CHI,11272934,11273131,197,0.
CHI,CHI,11273895,11274189,294,0.
CHI,CHI,11274707,11275310,603,0.
CHI,CHI,11275751,11275926,175,0.
CHI,CHI,11276139,11276336,197,0.
CHI,CHI,11276588,11277203,615,0.
CHI,CHI,11278118,11278251,133,0.
CHI,CHI,11280466,11280916,450,0.
CHI,CHI,11281513,11282867,1354,0.
CHI,CHI,11283275,11283964,689,0.
CHI,CHI,11286684,11287000,316,0.
CHI,CHI,11287588,11287685,97,0.
CHI,CHI,11291244,11291399,155,0.
CHI,CHI,11291784,11292211,427,0.
CHI,CHI,11293075,11293995,920,0.
CHI,CHI,11294360,11294695,335,0.
CHI,CHI,11295029,11295295,266,0.
CHI,CHI,11295842,11296114,272,0.
CHI,CHI,11298558,11298898,340,0.
CHI,CHI,11300518,11300793,275,0.
CHI,CHI,11302879,11303356,477,0.
CHI,CHI,11303762,11304336,574,0.
CHI,CHI,11304682,11305258,576,0.
CHI,CHI,11305622,11306745,1123,0.
CHI,CHI,11306967,11307898,931,0.
CHI,CHI,12170525,12170950,425,0.
CHI,CHI,12173308,12173766,458,0.
CHI,CHI,12192205,12192601,396,0.
CHI,CHI,12217558,12217878,320,0.
CHI,CHI,12219282,12219525,243,0.
CHI,CHI,12220432,12220811,379,0.
CHI,CHI,12221279,12221890,611,0.
CHI,CHI,12230188,12230628,440,0.
CHI,CHI,12239426,12239721,295,0.
CHI,CHI,12240525,12240914,389,0.
CHI,CHI,12241654,12241978,324,0.
CHI,CHI,12255679,12256062,383,0.
CHI,CHI,12272243,12272493,250,0.
CHI,CHI,12277387,12278014,627,0.
CHI,CHI,12278845,12279156,311,0.
CHI,CHI,12279678,12280012,334,0.
CHI,CHI,12280678,12281145,467,0.
CHI,CHI,12282323,12282645,322,0.
CHI,CHI,12283932,12284269,337,0.
CHI,CHI,12288107,12288545,438,0.
CHI,CHI,12291336,12291567,231,0.
CHI,CHI,12297001,12297753,752,0.
CHI,CHI,12305285,12305668,383,0.
CHI,CHI,12306040,12306847,807,0.
CHI,CHI,12308651,12308971,320,0.
CHI,CHI,12309764,12309880,116,0.
CHI,CHI,12311974,12312408,434,0.
CHI,CHI,12314040,12314465,425,0.
CHI,CHI,12329272,12329498,226,0.
CHI,CHI,12334434,12334651,217,0.
CHI,CHI,12336001,12336436,435,0.
CHI,CHI,12366234,12366762,528,0.
CHI,CHI,12366876,12367572,696,0.
CHI,CHI,12376389,12376723,334,0.
CHI,CHI,12378984,12379335,351,0.
CHI,CHI,12386440,12386741,301,0.
CHI,CHI,12400822,12401696,874,0.
CHI,CHI,12434647,12434860,213,0.
CHI,CHI,12434934,12435192,258,0.
CHI,CHI,12439805,12440811,1006,0.
CHI,CHI,12452674,12453000,326,0.
CHI,CHI,12455301,12455765,464,0.
CHI,CHI,12456355,12456941,586,0.
CHI,CHI,13782356,13782633,277,0.
CHI,CHI,13783306,13783612,306,0.
CHI,CHI,13784390,13784678,288,0.
CHI,CHI,13786306,13786549,243,0.
CHI,CHI,13792031,13792219,188,0.
CHI,CHI,13794979,13795398,419,0.
CHI,CHI,13795734,13796586,852,0.
CHI,CHI,13796773,13797051,278,0.
CHI,CHI,13803108,13803612,504,0.
CHI,CHI,13811635,13811930,295,0.
CHI,CHI,13813388,13814097,709,0.
CHI,CHI,13814414,13815194,780,0.
CHI,CHI,13821531,13821712,181,0.
CHI,CHI,13821851,13822867,1016,0.
CHI,CHI,13825237,13825643,406,0.
CHI,CHI,13827795,13828009,214,0.
CHI,CHI,13829186,13831139,1953,0.
CHI,CHI,17206856,17207092,236,0.
CHI,CHI,17260634,17260788,154,0.
CHI,CHI,20601308,20601740,432,0.
CHI,CHI,20646004,20646214,210,0.
CHI,CHI,20649050,20649266,216,0.
CHI,CHI,21520128,21520626,498,0.
CHI,CHI,21522940,21523392,452,0.
CHI,CHI,21524300,21524362,62,0.
CHI,CHI,21524702,21525206,504,0.
CHI,CHI,21525608,21525806,198,0.
CHI,CHI,21529946,21530194,248,0.
CHI,CHI,21530835,21531109,274,0.
CHI,CHI,21531623,21531855,232,0.
CHI,CHI,21536540,21536806,266,0.
CHI,CHI,21540516,21540832,316,0.
CHI,CHI,21544258,21544588,330,0.
CHI,CHI,21545502,21545860,358,0.
CHI,CHI,21547568,21547740,172,0.
CHI,CHI,21548292,21549612,1320,0.
CHI,CHI,21561266,21561732,466,0.
CHI,CHI,21562042,21562826,784,0.
CHI,CHI,21563112,21565164,2052,0.
CHI,CHI,22915804,22916430,626,0.
CHI,CHI,22917250,22918176,926,0.
CHI,CHI,22918744,22919466,722,0.
CHI,CHI,22920392,22920602,210,0.
CHI,CHI,22923530,22923864,334,0.
CHI,CHI,22924173,22925000,827,0.
CHI,CHI,22929678,22930788,1110,0.
CHI,CHI,22932988,22933402,414,0.
CHI,CHI,22935574,22936422,848,0.
CHI,CHI,22937208,22937608,400,0.
CHI,CHI,22939754,22940628,874,0.
CHI,CHI,22944496,22944710,214,0.
CHI,CHI,22945594,22945688,94,0.
CHI,CHI,22952204,22952411,207,0.
CHI,CHI,22956068,22957302,1234,0.
CHI,CHI,22968566,22968730,164,0.
CHI,CHI,22972506,22973560,1054,0.
CHI,CHI,22974916,22975128,212,0.
CHI,CHI,23181270,23181882,612,0.
CHI,CHI,23187626,23187882,256,0.
CHI,CHI,23189330,23189820,490,0.
CHI,CHI,23190634,23191064,430,0.
CHI,CHI,23191350,23191914,564,0.
CHI,CHI,23192196,23192592,396,0.
CHI,CHI,23192801,23193177,376,0.
CHI,CHI,23193856,23194396,540,0.
CHI,CHI,23194484,23194607,123,0.
CHI,CHI,23195660,23196252,592,0.
CHI,CHI,23201096,23201548,452,0.
