tier,speaker,start,stop,dur,val
CHI,CHI,8848,13477,4629,0.
CHI,CHI,14209,15797,1588,0.
CHI,CHI,33235,33522,287,0.
CHI,CHI,33640,35448,1808,0.
CHI,CHI,37681,38455,774,0.
CHI,CHI,39012,39233,221,0.
CHI,CHI,60754,61009,255,0.
CHI,CHI,121530,122573,1043,0.
FA1,FA1,36296,36910,614,0.
FA1,FA1,43178,43489,311,0.
FA1,FA1,54576,55225,649,0.
FA1,FA1,94400,94973,573,0.
FA1,FA1,126053,126793,740,0.
FA1,FA1,126893,127541,648,0.
FA2,FA2,46260,46578,318,0.
FA2,FA2,65816,67583,1767,0.
FA2,FA2,70011,70950,939,0.
FA2,FA2,77371,78079,708,0.
FA2,FA2,79306,80874,1568,0.
FA2,FA2,81431,81677,246,0.
FA2,FA2,127618,129057,1439,0.
UC1,UC1,3652,4454,802,0.
UC1,UC1,13862,15038,1176,0.
UC1,UC1,17694,18633,939,0.
UC1,UC1,39847,40251,404,0.
UC1,UC1,44366,44923,557,0.
UC1,UC1,61606,62679,1073,0.
UC1,UC1,71290,72881,1591,0.
UC1,UC1,73748,74167,419,0.
UC1,UC1,80448,80899,451,0.
UC1,UC1,85233,87176,1943,0.
UC1,UC1,88431,89045,614,0.
UC1,UC1,90818,91706,888,0.
UC1,UC1,94961,95734,773,0.
UC1,UC1,99160,100148,988,0.
UC1,UC1,101989,102564,575,0.
UC1,UC1,107530,110717,3187,0.
UC1,UC1,111063,111722,659,0.
UC1,UC1,118713,119480,767,0.
UC1,UC1,141068,141335,267,0.
UC1,UC1,142267,142721,454,0.
UC1,UC1,143148,145110,1962,0.
UC1,UC1,149866,151854,1988,0.
UC2,UC2,4263,5339,1076,0.
UC2,UC2,19931,21282,1351,0.
UC2,UC2,30028,30576,548,0.
UC2,UC2,31095,31751,656,0.
UC2,UC2,47301,49893,2592,0.
UC2,UC2,51709,54458,2749,0.
UC2,UC2,58003,60118,2115,0.
UC2,UC2,79049,79843,794,0.
